Title,Adress,Living Area,Rooms,Status,Price
Bert Haanstrakade 620,1087 HJ Amsterdam,90 m²,4 rooms,Available in consultation,"€ 1,355 p/mo."
Groenmarktkade 29,1016 TA Amsterdam,53 m²,2 rooms,,€ 732 p/mo.
Pascalstraat 2 1,1098 PB Amsterdam,100 m²,4 rooms,Available on 6/15/2022,"€ 1,975 p/mo."
Passeerdersstraat,1016 XB Amsterdam,,,Available in consultation,€ 250 p/mo.
Eerste Jan Steenstraat,1072 NK Amsterdam,,,Available in consultation,€ 200 p/mo.
Eerste Jan van der Heijdenstraat 89,1072 TM Amsterdam,,,Available in consultation,€ 200 p/mo.
Jisperveldstraat 516,1024 BA Amsterdam,,,Available in consultation,€ 250 p/mo.
Jisperveldstraat 513,1024 BA Amsterdam,,,Available in consultation,€ 250 p/mo.
Distelweg 441,1031 HD Amsterdam,,,Available immediately,€ 125 p/mo.
Pantograafstraat 63,1019 XX Amsterdam,98 m²,3 rooms,Available immediately,"€ 1,865 p/mo."
Leonard Bernsteinstraat 3 7.78,1082 MR Amsterdam,,,Available immediately,€ 300 p/mo.
Uiterwaardenstraat 77 1,1079 BS Amsterdam,52 m²,3 rooms,Available immediately,"€ 1,350 p/mo."
Nieuwe Uilenburgerstraat 11,1011 LM Amsterdam,,,Available immediately,€ 200 p/mo.
Jacques Veltmanstraat,1065 Amsterdam,,,Available in consultation,€ 150 p/mo.
Mijehof 27,1106 HA Amsterdam,112 m²,5 rooms,Available on 8/1/2022,"€ 1,550 p/mo."
Marnixstraat 342,1016 XT Amsterdam,,,Available in consultation,€ 250 p/mo.
Kraanspoor 3 F7,1033 SC Amsterdam,57 m²,3 rooms,Available on 8/2/2022,"€ 1,020 p/mo."
mt. Lincolnweg 14 B5,1033 SN Amsterdam,51 m²,2 rooms,Available immediately,€ 985 p/mo.
Sumatrakade 1123,1019 RG Amsterdam,78 m²,2 rooms,Available on 6/23/2022,"€ 1,335 p/mo."
Insulindeweg 33 B,1094 NZ Amsterdam,71 m²,4 rooms,Available on 7/1/2022,"€ 2,450 p/mo."
Veembroederhof,1019 HC Amsterdam,,,Available in consultation,€ 150 p/mo.
Wijenburg 93,1082 VR Amsterdam,,,Available immediately,€ 195 p/mo.
Tugelaweg 32,1092 VE Amsterdam,,,Available immediately,€ 200 p/mo.
Jisperveldstraat 306,1024 AP Amsterdam,,,Available in consultation,€ 250 p/mo.
Pantograafstraat 41,1019 XX Amsterdam,61 m²,1 room,Available immediately,"€ 1,305 p/mo."
Eerste Constantijn Huygensstraat 36 *,1054 BR Amsterdam,,,Available in consultation,€ 100 p/mo.
Zandstrooierstraat 63,1019 XZ Amsterdam,95 m²,4 rooms,Available immediately,"€ 1,915 p/mo."
Koningin Wilhelminaplein,1062 KS Amsterdam,,,Available in consultation,€ 175 p/mo.
Van Suchtelen van de Haarestraat,1068 GV Amsterdam,,,Available in consultation,€ 80 p/mo.
Derkinderenstraat,1061 VX Amsterdam,,,Available in consultation,€ 130 p/mo.
Eosstraat,1076 DT Amsterdam,,,Available in consultation,€ 195 p/mo.
Bestevâerstraat 63 H,1056 HJ Amsterdam,98 m²,3 rooms,Available in consultation,"€ 1,650 p/mo."
Sijlhoff 40,1082 ER Amsterdam,,,Available in consultation,€ 250 p/mo.
Javakade 440,1019 SC Amsterdam,71 m²,3 rooms,Available on 6/1/2022,"€ 1,440 p/mo."
Dever 47,1082 BK Amsterdam,,,Available immediately,€ 220 p/mo.
Vijverhoef 9,1081 AW Amsterdam,,,Available in consultation,€ 260 p/mo.
Tugelaweg 32 *,1092 VE Amsterdam,,,Available immediately,€ 200 p/mo.
Barentszplein 6 ong,1013 NJ Amsterdam,,,Available in consultation,€ 175 p/mo.
Gustav Mahlerlaan 279,1082 MK Amsterdam,83 m²,3 rooms,Available in consultation,"€ 1,805 p/mo."
Schipluidenlaan 98,1062 HE Amsterdam,,,Available immediately,€ 100 p/mo.
Piet Heinkade,1019 HM Amsterdam,,,Available in consultation,€ 200 p/mo.
Céramiquelaan 645,1031 KG Amsterdam,86 m²,4 rooms,Available immediately,"€ 1,770 p/mo."
Céramiquelaan 551,1031 KG Amsterdam,51 m²,2 rooms,Available immediately,"€ 1,215 p/mo."
Céramiquelaan 601,1031 KG Amsterdam,52 m²,1 room,Available immediately,"€ 1,095 p/mo."
Van Noordtkade 40,1013 BZ Amsterdam,,,Available in consultation,€ 120 p/mo.
Leonard Bernsteinstraat 3 -10.22,1082 MR Amsterdam,,,Available in consultation,€ 325 p/mo.
Nilda Pintostraat 15,1103 MK Amsterdam,115 m²,5 rooms,Available on 7/1/2022,"€ 1,595 p/mo."
Badhuiskade,1031 KV Amsterdam,,,Available immediately,€ 220 p/mo.
Nieuwe Westerdokstraat 8-PP,1013 AG Amsterdam,,,Available in consultation,€ 45 p/mo.
Jan Oudegeeststraat 56,1069 KG Amsterdam,,,Available in consultation,€ 115 p/mo.
Herengracht 179,1016 BE Amsterdam,,,Available immediately,€ 375 p/mo.
Crack-State 2,1082 TX Amsterdam,,,Available immediately,€ 250 p/mo.
Valkhof 93,1082 VE Amsterdam,,,Available in consultation,€ 225 p/mo.
Jan van Galenstraat 1,1051 KE Amsterdam,,,Available immediately,€ 125 p/mo.
Woestduinstraat,1058 TE Amsterdam,,,Available in consultation,€ 240 p/mo.
Jan van Galenstraat 283 H*,1056 CA Amsterdam,,,Available immediately,€ 70 p/mo.
Jan van Galenstraat 283 H,1056 CA Amsterdam,,,Available immediately,€ 195 p/mo.
Eerste Constantijn Huygensstraat 48,1054 BR Amsterdam,,,Available immediately,€ 325 p/mo.
Oostenburgermiddenstraat 339,1018 LH Amsterdam,86 m²,3 rooms,,"€ 1,675 p/mo."
Carolina MacGillavrylaan 529,1098 XA Amsterdam,60 m²,2 rooms,Available immediately,"€ 1,080 p/mo."
Oudeschans 81,1011 KW Amsterdam,,,Available immediately,€ 175 p/mo.
Valkenburgerstraat 132,1011 NA Amsterdam,,,Available immediately,€ 350 p/mo.
Wittgensteinlaan 73 D,1062 KB Amsterdam,,,Available immediately,€ 200 p/mo.
Spadinalaan 72,1031 KB Amsterdam,,,Available in consultation,€ 190 p/mo.
Marco Polostraat 177 HS,1057 WJ Amsterdam,50 m²,3 rooms,Available immediately,
Cas Oorthuyskade 382,1087 DP Amsterdam,140 m²,3 rooms,Available immediately,"€ 1,682 p/mo."
Cruquiusweg 128,1019 AK Amsterdam,80 m²,3 rooms,Available on 7/1/2022,"€ 1,795 p/mo."
Nachtwachtlaan 377,1058 EN Amsterdam,,,Available immediately,€ 120 p/mo.
Kwakerstraat,1053 WC Amsterdam,,,Available immediately,€ 200 p/mo.
Loenermark 425 PP,1025 TL Amsterdam,,,Available immediately,€ 100 p/mo.
Jan Smitstraat 48 PP,1069 SZ Amsterdam,,,Available in consultation,€ 100 p/mo.
Uilenburgerwerf 65,1011 MX Amsterdam,,,Available immediately,€ 200 p/mo.
Van Noordtkade 7,1013 BZ Amsterdam,,,Available immediately,€ 175 p/mo.
Taandwarsstraat 99-PP,1013 BW Amsterdam,,,Available in consultation,€ 207 p/mo.
Nieuwe Herengracht 183,1011 SK Amsterdam,,,Available immediately,€ 195 p/mo.
Silodam,1013 AS Amsterdam,,,Available immediately,€ 275 p/mo.
Silodam,1013 AW Amsterdam,,,Available in consultation,€ 185 p/mo.
Saskia van Uijlenburgkade 34 ong,1058 GA Amsterdam,,,Available in consultation,€ 175 p/mo.
Dijkgraafplein 1,1069 EK Amsterdam,,,Available in consultation,€ 80 p/mo.
Loevestein 6,1082 XJ Amsterdam,,,Available in consultation,€ 225 p/mo.
Houthavenweg,1014 ZA Amsterdam,60 m²,1 room,Available immediately,"€ 1,500 p/mo."
Haparandaweg,1013 BD Amsterdam,42 m²,1 room,Available immediately,"€ 1,200 p/mo."
Efua Sutherlandstraat 25,1103 MV Amsterdam,85 m²,3 rooms,Available on 6/30/2022,"€ 1,350 p/mo."
Westerdok 490 PP,1013 BH Amsterdam,,,Available in consultation,€ 200 p/mo.
Huntum 40 B,1102 JD Amsterdam,,,Available in consultation,€ 145 p/mo.
Huntum 10 F,1102 JA Amsterdam,,,Available in consultation,€ 148 p/mo.
Kuipersstraat 134,1073 EV Amsterdam,,,Available immediately,€ 200 p/mo.
Reguliersdwarsstraat 95 D,1017 BK Amsterdam,,,Available in consultation,€ 100 p/mo.
De Lierhof,1059 WB Amsterdam,,,Available immediately,€ 200 p/mo.
Alma Tademastraat 25,1061 VK Amsterdam,,,Available immediately,€ 100 p/mo.
Revaleiland 43,1014 ZG Amsterdam,81 m²,3 rooms,Available immediately,"€ 1,415 p/mo."
Bellamystraat 49,1053 BG Amsterdam,,,Available immediately,€ 135 p/mo.
Efua Sutherlandstraat 34,1103 MV Amsterdam,91 m²,4 rooms,Available on 6/15/2022,"€ 1,585 p/mo."
Wielingenstraat 9,1078 KK Amsterdam,,,Available immediately,€ 150 p/mo.
Bijlmerdreef 1289,1103 TV Amsterdam,,,Available in consultation,€ 121 p/mo.
Keizersgracht 107 D,1015 CH Amsterdam,114 m²,2 rooms,Available in consultation,"€ 2,600 p/mo."
Tweede van Swindenstraat 178 B,1093 XA Amsterdam,90 m²,3 rooms,Available in consultation,"€ 2,050 p/mo."
Sibogastraat 64,1094 SM Amsterdam,90 m²,4 rooms,Available immediately,"€ 1,750 p/mo."
Karperweg 9 II,1075 LA Amsterdam,81 m²,2 rooms,Available in consultation,"€ 2,500 p/mo."
Pieter Lastmankade 30 E,1075 KK Amsterdam,160 m²,4 rooms,Available in consultation,"€ 6,250 p/mo."
Prinseneiland 25 hs,1013 LL Amsterdam,67 m²,1 room,Available in consultation,"€ 1,950 p/mo."
Herengracht 271,1016 BJ Amsterdam,70 m²,4 rooms,Available immediately,"€ 2,000 p/mo."
Haarlemmerdijk 42 c,1013 JD Amsterdam,64 m²,2 rooms,Available in consultation,"€ 1,800 p/mo."
Kerkstraat 134 D,1017 GP Amsterdam,85 m²,3 rooms,Available immediately,"€ 2,650 p/mo."
Vaartstraat 18 -3,1075 RN Amsterdam,68 m²,2 rooms,Available on 7/1/2022,"€ 1,750 p/mo."
Raoul Wallenbergstraat 71,1102 AX Amsterdam,90 m²,3 rooms,Available immediately,"€ 1,650 p/mo."
Oosterpark 47 -1,1092 AN Amsterdam,62 m²,3 rooms,Available on 6/1/2022,"€ 1,900 p/mo."
Krooswijkhof 91,1082 PB Amsterdam,127 m²,3 rooms,Available in consultation,"€ 2,450 p/mo."
Hellingstraat 186,1033 WW Amsterdam,82 m²,3 rooms,Available immediately,"€ 1,743 p/mo."
Oudezijds Voorburgwal 183 I V,1012 EW Amsterdam,100 m²,3 rooms,Available immediately,"€ 2,450 p/mo."
Van Noordtkade 58 B,1013 BZ Amsterdam,86 m²,4 rooms,Available in consultation,"€ 1,750 p/mo."
Van Woustraat 219 2,1074 AP Amsterdam,66 m²,3 rooms,Available in consultation,"€ 1,650 p/mo."
Dongestraat 4 huis,1078 JW Amsterdam,85 m²,3 rooms,Available in consultation,"€ 2,250 p/mo."
Kuipersstraat 147 A10,1073 ER Amsterdam,52 m²,3 rooms,Available in consultation,"€ 1,600 p/mo."
Hillegomstraat 40 II,1058 LT Amsterdam,120 m²,4 rooms,Available in consultation,"€ 2,995 p/mo."
Borgerstraat 214 A,1053 RE Amsterdam,95 m²,4 rooms,Available on 6/1/2022,"€ 2,500 p/mo."
Ceintuurbaan 219 II,1074 CW Amsterdam,72 m²,4 rooms,Available immediately,"€ 2,650 p/mo."
Droogbak 4 D,1013 GE Amsterdam,120 m²,3 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Bentinckstraat 3 -1,1051 GC Amsterdam,55 m²,2 rooms,Available on 7/1/2022,"€ 1,550 p/mo."
Nieuwe Nieuwstraat 18 B,1012 NH Amsterdam,72 m²,2 rooms,Available on 6/1/2022,"€ 1,900 p/mo."
Bilderdijkkade 71 C,1053 VK Amsterdam,85 m²,4 rooms,Available on 6/1/2022,"€ 2,200 p/mo."
Kribbestraat 60 -hs,1079 WV Amsterdam,50 m²,3 rooms,Available on 6/2/2022,"€ 1,575 p/mo."
Weteringschans 157 4/5,1017 SE Amsterdam,82 m²,4 rooms,Available immediately,"€ 2,495 p/mo."
S. F. van Ossstraat 290,1068 JR Amsterdam,76 m²,3 rooms,Available in consultation,"€ 1,600 p/mo."
Eerste Constantijn Huygensstraat 73 I,1054 BT Amsterdam,116 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Hellingstraat 100,1033 WW Amsterdam,69 m²,3 rooms,Available immediately,"€ 1,559 p/mo."
Hellingstraat 190,1033 WW Amsterdam,67 m²,3 rooms,Available immediately,"€ 1,500 p/mo."
Prinsengracht 420 a,1016 JC Amsterdam,119 m²,4 rooms,Available immediately,"€ 3,000 p/mo."
Laagte Kadijk 55,1018 BB Amsterdam,87 m²,3 rooms,Available on 6/1/2022,"€ 1,950 p/mo."
Nicolaas Witsenkade 27 D,1017 ZT Amsterdam,85 m²,3 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Jacques Veltmanstraat 189,1065 DB Amsterdam,85 m²,3 rooms,Available immediately,"€ 1,750 p/mo."
Jacob van Wassenaar Obdamstraat 18 I,1057 JR Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,850 p/mo."
Nieuwezijds Voorburgwal 175 2,1012 RK Amsterdam,47 m²,2 rooms,Available in consultation,"€ 1,300 p/mo."
Hoofdweg 127 G,1058 BB Amsterdam,70 m²,3 rooms,Available in consultation,"€ 2,145 p/mo."
Bilderdijkkade 19 A1,1053 VB Amsterdam,80 m²,3 rooms,Available in consultation,"€ 2,150 p/mo."
Crynssenstraat 34 H,1058 XW Amsterdam,55 m²,2 rooms,Available on 6/8/2022,"€ 1,800 p/mo."
Deurloostraat 109 II,1078 HW Amsterdam,83 m²,4 rooms,Available on 6/7/2022,"€ 2,400 p/mo."
Dongestraat 4 I,1078 JW Amsterdam,140 m²,6 rooms,Available in consultation,"€ 2,800 p/mo."
Brouwersgracht 284 G,1013 HG Amsterdam,112 m²,2 rooms,Available in consultation,"€ 3,000 p/mo."
Schokkerspad 23,1081 KR Amsterdam,200 m²,5 rooms,Available in consultation,"€ 3,600 p/mo."
Amazonenstraat 35 2,1076 LE Amsterdam,110 m²,5 rooms,Available immediately,"€ 2,800 p/mo."
Pieter Cornelisz. Hooftstraat 90,1071 CC Amsterdam,105 m²,2 rooms,Available in consultation,"€ 2,800 p/mo."
Zeeburgerkade 462,1019 HP Amsterdam,85 m²,3 rooms,Available immediately,"€ 1,600 p/mo."
Stadionweg 162 2,1077 TB Amsterdam,116 m²,4 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Stadionweg 162 1,1077 TB Amsterdam,116 m²,4 rooms,Available on 8/1/2022,"€ 3,000 p/mo."
Jan van Galenstraat 173 3,1056 BS Amsterdam,85 m²,6 rooms,Available on 6/1/2022,"€ 2,500 p/mo."
Sprinklerstraat 81,1019 VR Amsterdam,94 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Keizersgracht 492 C,1017 EH Amsterdam,110 m²,3 rooms,Available on 7/1/2022,"€ 3,400 p/mo."
Herengracht 92 3,1015 BS Amsterdam,110 m²,3 rooms,Available on 6/1/2022,"€ 2,350 p/mo."
Raphaëlplein 31 I,1077 PX Amsterdam,139 m²,5 rooms,Available on 6/1/2022,"€ 4,500 p/mo."
Conradstraat 128 A,1018 NM Amsterdam,90 m²,4 rooms,Available on 6/1/2022,"€ 2,500 p/mo."
Spadinalaan 184,1031 KB Amsterdam,109 m²,4 rooms,Available immediately,"€ 1,800 p/mo."
Muntplein 2 F,1012 WR Amsterdam,65 m²,2 rooms,Available immediately,"€ 1,680 p/mo."
Merckenburg 36,1082 BT Amsterdam,85 m²,4 rooms,Available on 6/18/2022,"€ 2,100 p/mo."
Van der Hoopstraat 116 3,1051 VN Amsterdam,96 m²,5 rooms,Available immediately,"€ 2,650 p/mo."
Oudezijds Voorburgwal 99 G,1012 EM Amsterdam,80 m²,3 rooms,Available immediately,"€ 2,250 p/mo."
Amstelveenseweg 145 1,1075 VZ Amsterdam,66 m²,2 rooms,Available on 6/1/2022,"€ 2,100 p/mo."
Milletstraat 7 huis,1077 ZA Amsterdam,115 m²,4 rooms,Available in consultation,"€ 2,500 p/mo."
Apollolaan 35 1,1077 AC Amsterdam,107 m²,4 rooms,Available immediately,"€ 2,650 p/mo."
Eendrachtstraat 13 hs,1078 XV Amsterdam,77 m²,2 rooms,Available immediately,"€ 1,950 p/mo."
Hellingstraat 156,1033 WW Amsterdam,82 m²,3 rooms,Available immediately,"€ 1,694 p/mo."
Wijdesteeg 18,1012 RN Amsterdam,62 m²,2 rooms,Available immediately,"€ 1,800 p/mo."
Kerkstraat 127 A,1017 GE Amsterdam,123 m²,4 rooms,Available on 6/1/2022,"€ 3,000 p/mo."
Jan Puntstraat 117,1065 MB Amsterdam,42 m²,2 rooms,Available in consultation,"€ 1,195 p/mo."
Gillis van Ledenberchstraat 114 F,1052 VK Amsterdam,75 m²,3 rooms,Available immediately,"€ 1,975 p/mo."
Keizersgracht 138 C,1015 CW Amsterdam,75 m²,2 rooms,Available on 6/1/2022,"€ 2,250 p/mo."
Valkenburgerstraat 132 C,1011 NA Amsterdam,91 m²,3 rooms,Available on 6/1/2022,"€ 3,000 p/mo."
Holendrechtstraat 26 3,1078 TT Amsterdam,70 m²,3 rooms,Available on 7/1/2022,"€ 1,900 p/mo."
Van Nijenrodeweg 320,1082 HB Amsterdam,122 m²,4 rooms,Available in consultation,"€ 2,500 p/mo."
Geldersekade 92 F,1012 BM Amsterdam,115 m²,3 rooms,Available immediately,"€ 2,500 p/mo."
Valeriusstraat 121 H,1075 ER Amsterdam,145 m²,4 rooms,Available immediately,"€ 4,500 p/mo."
De Wittenkade 31 R2,1052 AB Amsterdam,65 m²,2 rooms,Available on 6/6/2022,"€ 1,750 p/mo."
Ceintuurbaan 412 III,1074 EA Amsterdam,70 m²,3 rooms,Available in consultation,"€ 2,250 p/mo."
Madurastraat 8 D,1094 GL Amsterdam,58 m²,2 rooms,Available immediately,"€ 1,600 p/mo."
Borgerstraat 195 h,1053 PK Amsterdam,55 m²,2 rooms,Available immediately,"€ 1,850 p/mo."
Boeroestraat 35,1095 VP Amsterdam,79 m²,3 rooms,Available on 6/15/2022,"€ 1,750 p/mo."
Sloterweg 824 1,1066 CP Amsterdam,80 m²,2 rooms,Available in consultation,"€ 1,750 p/mo."
Pruimenstraat 10 B,1033 KM Amsterdam,80 m²,4 rooms,Available immediately,"€ 1,550 p/mo."
Alexanderplein 1 B,1018 CG Amsterdam,110 m²,3 rooms,Available immediately,"€ 2,850 p/mo."
Leonard Bernsteinstraat 76 A,1082 MR Amsterdam,130 m²,3 rooms,Available immediately,"€ 3,250 p/mo."
Mary Zeldenruststraat 21,1091 DL Amsterdam,65 m²,2 rooms,Available on 6/1/2022,"€ 1,650 p/mo."
Jisperveldstraat 464,1024 AX Amsterdam,85 m²,4 rooms,Available immediately,"€ 1,700 p/mo."
Christoffelkruidstraat 50,1032 LK Amsterdam,80 m²,3 rooms,Available on 6/1/2022,"€ 2,000 p/mo."
Sarphatikade 21 HS,1017 WV Amsterdam,100 m²,3 rooms,Available on 6/1/2022,"€ 2,750 p/mo."
Nicolaas Maesstraat 123 1,1071 PW Amsterdam,88 m²,2 rooms,Available immediately,"€ 2,500 p/mo."
Damstraat 1 E,1012 JL Amsterdam,100 m²,3 rooms,Available immediately,"€ 3,950 p/mo."
Driekoningenstraat 1 B,1016 AL Amsterdam,91 m²,3 rooms,Available in consultation,"€ 2,150 p/mo."
Nieuw Herlaer 57,1083 BB Amsterdam,104 m²,3 rooms,Available in consultation,"€ 1,995 p/mo."
Kastelenstraat 99 III,1082 EA Amsterdam,114 m²,3 rooms,Available in consultation,"€ 2,100 p/mo."
Oudezijds Voorburgwal 99 H,1012 EM Amsterdam,80 m²,3 rooms,Available immediately,"€ 2,295 p/mo."
Dirk Schäferstraat 47 III,1076 BB Amsterdam,96 m²,3 rooms,Available in consultation,"€ 1,750 p/mo."
Eerste Jan van der Heijdenstraat 104 I,1072 VA Amsterdam,65 m²,3 rooms,Available on 7/1/2022,"€ 2,300 p/mo."
Plantage Badlaan 5 hs,1018 TE Amsterdam,140 m²,4 rooms,Available immediately,"€ 3,250 p/mo."
Koperslagerij 75,1021 NJ Amsterdam,43 m²,2 rooms,Available immediately,"€ 1,375 p/mo."
Leusdenhof 131,1108 DB Amsterdam,68 m²,3 rooms,Available immediately,"€ 1,211 p/mo."
ms. van Riemsdijkweg 52,1033 RD Amsterdam,82 m²,3 rooms,Available on 6/1/2022,"€ 1,212 p/mo."
Valeriusstraat 17 hs,1071 MB Amsterdam,130 m²,5 rooms,Available in consultation,"€ 4,500 p/mo."
Rijnlandlaan 99,1062 MX Amsterdam,92 m²,3 rooms,Available immediately,"€ 1,635 p/mo."
Moreelsestraat 7 Boven,1071 BJ Amsterdam,145 m²,6 rooms,Available immediately,"€ 4,750 p/mo."
Ukkelhof 14,1066 WV Amsterdam,120 m²,5 rooms,Available on 7/1/2022,"€ 2,000 p/mo."
Jacob van Lennepkade 627,1054 ZW Amsterdam,80 m²,3 rooms,Available on 6/1/2022,"€ 2,450 p/mo."
Huidenstraat 10 A,1016 ES Amsterdam,135 m²,4 rooms,Available on 6/1/2022,"€ 3,750 p/mo."
Scheepsbouwweg 163,1033 DC Amsterdam,73 m²,3 rooms,Available on 6/1/2022,"€ 1,550 p/mo."
Rochussenstraat 4 4,1051 JK Amsterdam,38 m²,1 room,Available on 6/1/2022,"€ 1,450 p/mo."
Lange Leidsedwarsstraat 66 3,1017 NM Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,950 p/mo."
Van Bossestraat 3 II,1051 JR Amsterdam,53 m²,3 rooms,Available in consultation,"€ 1,800 p/mo."
Zeeburgerdijk 112 M,1094 AJ Amsterdam,190 m²,6 rooms,Available on 7/1/2022,"€ 3,900 p/mo."
Dickenslaan 43,1102 XN Amsterdam,60 m²,3 rooms,Available on 5/27/2022,"€ 1,400 p/mo."
Oudezijds Voorburgwal 19 -3,1012 EH Amsterdam,100 m²,3 rooms,Available immediately,"€ 2,000 p/mo."
Vondelstraat 29 II,1054 GJ Amsterdam,90 m²,2 rooms,Available in consultation,"€ 2,750 p/mo."
Milletstraat 56 2,1077 ZG Amsterdam,130 m²,4 rooms,Available on 6/1/2022,"€ 2,850 p/mo."
Vrijzicht 181,1068 CK Amsterdam,72 m²,2 rooms,Available in consultation,"€ 1,675 p/mo."
Driehoekstraat 1 A,1015 GL Amsterdam,110 m²,3 rooms,Available on 6/1/2022,"€ 2,300 p/mo."
Runstraat 2 a,1016 GK Amsterdam,70 m²,4 rooms,Available immediately,"€ 2,150 p/mo."
Tugelaweg 43 D,1092 VH Amsterdam,87 m²,3 rooms,Available immediately,"€ 2,000 p/mo."
Sumatrakade 1109,1019 RG Amsterdam,90 m²,3 rooms,Available on 6/1/2022,"€ 1,570 p/mo."
Nida Senffstraat 97,1095 MX Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,750 p/mo."
Herengracht 391 c,1016 BC Amsterdam,136 m²,4 rooms,Available immediately,"€ 3,450 p/mo."
Emmalaan 19 B,1075 AT Amsterdam,90 m²,3 rooms,Available immediately,"€ 2,950 p/mo."
ms. Oslofjordweg 36,1033 SM Amsterdam,88 m²,2 rooms,Available on 7/1/2022,"€ 1,400 p/mo."
Watteaustraat 29 2,1077 ZK Amsterdam,115 m²,4 rooms,Available on 7/1/2022,"€ 2,500 p/mo."
Statenjachtstraat 219,1034 GA Amsterdam,104 m²,4 rooms,Available immediately,"€ 2,000 p/mo."
Fleerde 7,1102 AV Amsterdam,100 m²,3 rooms,Available in consultation,"€ 1,600 p/mo."
