Title,Adress,Living Area,Rooms,Status,Price
Woningen,1082 ME Amsterdam,"1,000 m²",,,"From € 1,400 to 2,500 p/mo."
Floor Wibautstraat - Tweekamer appartementen,1091 GN Amsterdam,68 - 80 m²,2 rooms,,"From € 1,000 to 1,800 p/mo."
Floor Wibautstraat - Studio's,1091 GN Amsterdam,35 - 45 m²,1 room,,"From € 1,000 to 1,300 p/mo."
Type K9A - De Heelmeesters I en II,1097 BB Amsterdam,116 m²,,,"€ 1,680 p/mo."
Type G - Kon. Wilhelminaplein II,1062 KL Amsterdam,94 m²,3 rooms,,"From € 1,150 to 1,700 p/mo."
R-1,1096 DS Amsterdam,95 m²,3 rooms,,"€ 1,849 p/mo."
E02,1033 SC Amsterdam,83 m²,4 rooms,,"From € 1,245 to 1,400 p/mo."
O1 pent,1033 SN Amsterdam,65 m²,2 rooms,,"From € 1,290 to 1,370 p/mo."
Type C2 - Halve Maen,1031 KB Amsterdam,74 m²,,,"€ 1,400 p/mo."
Type K2S - Statendam,1031 KG Amsterdam,64 m²,,,"€ 1,270 p/mo."
Type E1S - Statendam,1031 KD Amsterdam,85 m²,,,"€ 1,400 p/mo."
Type C1 - Kon. Wilhelminaplein II,1062 KL Amsterdam,89 m²,,,"€ 1,275 p/mo."
Type H2 - Halve Maen,1031 KB Amsterdam,109 m²,,,"€ 1,725 p/mo."
T1,1033 SM Amsterdam,80 m²,4 rooms,,"From € 1,050 to 1,150 p/mo."
S1,1033 EM Amsterdam,67 m²,3 rooms,,"€ 1,440 p/mo."
E03,1033 SC Amsterdam,83 m²,4 rooms,,"From € 1,200 to 1,400 p/mo."
E01,1033 SC Amsterdam,88 m²,4 rooms,,"From € 1,200 to 1,400 p/mo."
Type 2 Kamers - Summertime,1082 MK Amsterdam,67 - 68 m²,2 rooms,,"From € 991 to 1,765 p/mo."
Type K14B - De Heelmeesters I en II,1097 BC Amsterdam,74 - 152 m²,3 rooms,,"From € 740 to 2,200 p/mo."
Dok 15 appartementen,1031 JK Amsterdam,48 - 100 m²,,,"From € 1,160 to 2,060 p/mo."
Q,1033 SN Amsterdam,96 m²,3 rooms,,"From € 1,320 to 1,360 p/mo."
C01 mais,1033 SC Amsterdam,100 m²,3 rooms,,"From € 1,500 to 1,600 p/mo."
4-kamerappartement,1031 HK Amsterdam,90 - 160 m²,4 rooms,,"From € 1,620 to 1,995 p/mo."
E,1096 DS Amsterdam,48 m²,2 rooms,,€ 773 p/mo.
O,1033 SN Amsterdam,57 m²,3 rooms,,"From € 1,000 to 1,060 p/mo."
W-1,1096 DS Amsterdam,51 - 52 m²,,,"From € 1,159 to 1,160 p/mo."
Type E5 - Halve Maen,1031 KB Amsterdam,110 m²,,,"€ 1,690 p/mo."
M,1096 DT Amsterdam,62 m²,3 rooms,,"€ 1,404 p/mo."
Type LoftD - Summertime,1082 MA Amsterdam,74 m²,,,€ 991 p/mo.
R1,1033 SM Amsterdam,92 m²,4 rooms,,"From € 1,390 to 1,430 p/mo."
Type P4 - De Heelmeesters I en II,1097 BB Amsterdam,81 m²,,,"€ 1,425 p/mo."
2-kamer appartement,1076 ED Amsterdam,60 - 75 m²,,,"From € 1,100 to 1,300 p/mo."
M-4,1096 DT Amsterdam,63 - 64 m²,3 rooms,,"€ 1,390 p/mo."
N-1,1096 DT Amsterdam,64 m²,,,"From € 1,395 to 1,400 p/mo."
4-kamer appartement,1076 ED Amsterdam,90 - 100 m²,,,"From € 1,500 to 2,100 p/mo."
Type D2 - Statendam,1031 KD Amsterdam,82 m²,,,"€ 1,385 p/mo."
X3,1033 SM Amsterdam,86 - 88 m²,3 rooms,,"€ 1,360 p/mo."
3 Kamerwoning,1052 MA Amsterdam,75 - 96 m²,3 rooms,,"From € 1,550 to 1,900 p/mo."
Type LoftC - Summertime,1082 MA Amsterdam,63 m²,,,€ 991 p/mo.
Q-1,1096 DT Amsterdam,71 m²,3 rooms,,"€ 1,515 p/mo."
S-1,1096 DS Amsterdam,94 - 95 m²,3 rooms,,"€ 1,705 p/mo."
S,1096 DS Amsterdam,93 - 94 m²,3 rooms,,"€ 1,670 p/mo."
Type X3-A - Het Baken,1097 JR Amsterdam,61 m²,,,"From € 1,100 to 1,200 p/mo."
Type LoftB - Summertime,1082 MA Amsterdam,70 - 80 m²,,,"From € 990 to 1,000 p/mo."
R5,1033 SM Amsterdam,94 m²,3 rooms,,"€ 1,440 p/mo."
3-kamer appartement,1082 MZ Amsterdam,50 - 100 m²,,,"From € 1,000 to 2,300 p/mo."
R,1096 DS Amsterdam,110 m²,,,"From € 1,865 to 1,870 p/mo."
Appartementen Mura,1087 NB Amsterdam,81 - 235 m²,4 rooms,,"From € 1,200 to 2,800 p/mo."
V,1096 DS Amsterdam,84 m²,,,"€ 1,705 p/mo."
M-1,1096 DT Amsterdam,64 m²,,,"From € 1,390 to 1,400 p/mo."
3-kamer appartement,1061 AX Amsterdam,67 - 69 m²,3 rooms,,"From € 1,035 to 1,330 p/mo."
N loft 03,1033 SN Amsterdam,90 m²,3 rooms,,"€ 1,800 p/mo."
H,1033 SE Amsterdam,91 - 93 m²,3 rooms,,"From € 1,250 to 1,300 p/mo."
2-kamer appartement,1087 HJ Amsterdam,43 - 68 m²,,,"From € 798 to 1,415 p/mo."
Type 3KE - Kon. Wilhelminaplein I,1062 KB Amsterdam,90 - 166 m²,,,"From € 1,100 to 2,200 p/mo."
Dok7 Lia Doranastraat 3-kamerappartement,1031 HK Amsterdam,,,,"From € 1,030 to 2,500 p/mo."
X4,1033 EM Amsterdam,86 m²,3 rooms,,"€ 1,360 p/mo."
R2,1033 SM Amsterdam,91 m²,4 rooms,,"From € 1,390 to 1,420 p/mo."
X1,1033 SM Amsterdam,86 m²,3 rooms,,"€ 1,250 p/mo."
Terraswoning,1082 MT Amsterdam,75 - 102 m²,4 rooms,,"From € 2,045 to 2,495 p/mo."
Hoekwoning,1082 MT Amsterdam,42 - 120 m²,,,"From € 1,030 to 2,995 p/mo."
Tussenwoning,1082 MT Amsterdam,53 - 102 m²,,,"From € 1,030 to 2,995 p/mo."
4-kamer appartement,1082 MZ Amsterdam,65 - 111 m²,,,"From € 1,240 to 2,110 p/mo."
A7,1076 ED Amsterdam,72 m²,,,"€ 1,315 p/mo."
studio,1087 HJ Amsterdam,45 - 94 m²,,,"From € 790 to 1,495 p/mo."
Leidekkerstraat,1012 JC Amsterdam,86 - 111 m²,3 rooms,,"From € 1,900 to 2,500 p/mo."
Type X1,1052 MA Amsterdam,70 - 90 m²,4 rooms,,"From € 1,550 to 1,900 p/mo."
Type 3K - Summertime,1082 MK Amsterdam,64 m²,,,"From € 991 to 1,300 p/mo."
2 Kamerwoning,1052 LB Amsterdam,70 - 93 m²,2 rooms,,"From € 1,550 to 1,900 p/mo."
Warmoesstraat,1012 JC Amsterdam,42 - 115 m²,3 rooms,,"From € 1,900 to 2,300 p/mo."
Type E1 - Statendam,1031 KG Amsterdam,86 m²,,,"From € 1,330 to 1,395 p/mo."
Type F1S - Statendam,1031 KD Amsterdam,92 m²,,,"From € 1,400 to 1,450 p/mo."
Type C1 - Statendam,1031 KD Amsterdam,74 m²,,,"From € 1,250 to 1,285 p/mo."
Type B10 - Rivers,1079 RH Amsterdam,91 m²,,,"From € 1,520 to 1,530 p/mo."
Type X2-F - Het Baken,1097 JR Amsterdam,81 m²,,,"€ 1,035 p/mo."
Type X2-C - Het Baken,1097 JR Amsterdam,66 m²,,,"€ 1,100 p/mo."
Type X2-B - Het Baken,1097 JR Amsterdam,65 m²,,,"From € 1,015 to 1,020 p/mo."
Type K5A - De Heelmeesters I en II,1097 BC Amsterdam,93 m²,,,"From € 1,480 to 1,520 p/mo."
Type K4A - De Heelmeesters I en II,1097 BB Amsterdam,80 - 81 m²,,,€ 800 p/mo.
Type K2A - De Heelmeesters I en II,1097 BB Amsterdam,76 m²,,,€ 800 p/mo.
Type K13A - De Heelmeesters I en II,1097 BB Amsterdam,93 m²,,,"From € 1,560 to 1,675 p/mo."
Type K12A - De Heelmeesters I en II,1097 BB Amsterdam,100 m²,,,"From € 1,490 to 1,515 p/mo."
Type K10A - De Heelmeesters I en II,1097 BB Amsterdam,91 m²,,,"From € 1,360 to 1,480 p/mo."
Type G1 - De Heelmeesters I en II,1097 BB Amsterdam,96 m²,,,"From € 1,455 to 1,475 p/mo."
Type B1 - De Heelmeesters I en II,1097 BB Amsterdam,152 m²,,,"From € 1,250 to 2,100 p/mo."
Type A1 - De Heelmeesters I en II,1097 BB Amsterdam,152 m²,,,"€ 2,245 p/mo."
Type K1 - Halve Maen,1031 KB Amsterdam,98 m²,,,"€ 1,505 p/mo."
Type J1 - Halve Maen,1031 KB Amsterdam,113 m²,,,"€ 1,665 p/mo."
Type I1 - Halve Maen,1031 KB Amsterdam,101 m²,,,"€ 1,515 p/mo."
Type H1 - Halve Maen,1031 KB Amsterdam,110 m²,,,"€ 1,700 p/mo."
Type E1 - Halve Maen,1031 KB Amsterdam,131 m²,,,"€ 1,905 p/mo."
Type C1 - Halve Maen,1031 KB Amsterdam,76 m²,,,"€ 1,300 p/mo."
Type B1 - Halve Maen,1031 KB Amsterdam,54 m²,,,"€ 1,085 p/mo."
Type A2 - Halve Maen,1031 KB Amsterdam,100 m²,,,"From € 1,475 to 1,550 p/mo."
Type A1 - Halve Maen,1031 KB Amsterdam,100 m²,,,"€ 1,450 p/mo."
Geinwijk II - Type A,1103 DS Amsterdam,103 m²,4 rooms,,From € 880 to 885 p/mo.
Geinwijk I - Type EH,1103 DJ Amsterdam,147 m²,6 rooms,,"€ 1,145 p/mo."
Geinwijk I - Type E,1103 DN Amsterdam,102 m²,4 rooms,,€ 945 p/mo.
Geinwijk I - Type C,1103 DM Amsterdam,129 m²,5 rooms,,"From € 1,055 to 1,070 p/mo."
Geinwijk I - Type BH,1103 DJ Amsterdam,117 m²,5 rooms,,"€ 1,035 p/mo."
Type E4 - Halve Maen,1031 KB Amsterdam,64 - 105 m²,,,"From € 1,130 to 1,600 p/mo."
type X3-B Statendam,1031 KD Amsterdam,81 m²,3 rooms,,"From € 1,300 to 1,500 p/mo."
Type E - Kon. Wilhelminaplein II,1062 KM Amsterdam,75 m²,,,"From € 1,150 to 1,700 p/mo."
Type C1S - Statendam,1031 KD Amsterdam,64 - 105 m²,,,"From € 1,130 to 1,600 p/mo."
Type K3 - Halve Maen,1031 KB Amsterdam,64 - 105 m²,,,"From € 1,130 to 1,600 p/mo."
Type F - Kon. Wilhelminaplein II,1062 KK Amsterdam,94 m²,,,"From € 1,150 to 1,700 p/mo."
Type Y3,1052 MA Amsterdam,86 m²,4 rooms,,"€ 1,745 p/mo."
Sint Jansstraat,1012 HG Amsterdam,77 m²,3 rooms,,"From € 2,000 to 2,300 p/mo."
Ivens Studio's,1087 BC Amsterdam,36 - 50 m²,1 room,,From € 755 to 930 p/mo.
Type P1 - De Heelmeesters I en II,1097 BB Amsterdam,126 m²,,,"From € 850 to 2,500 p/mo."
Type E3 - Halve Maen,1031 KB Amsterdam,64 - 273 m²,,,"From € 1,130 to 1,600 p/mo."
Type 3KG - Kon. Wilhelminaplein I,1062 KS Amsterdam,90 - 110 m²,3 rooms,,"From € 1,050 to 1,200 p/mo."
Type K11B - De Heelmeesters I en II,1097 BB Amsterdam,84 m²,,,"From € 1,400 to 1,440 p/mo."
Type X2-A - Het Baken,1097 JR Amsterdam,60 - 80 m²,2 rooms,,"From € 977 to 1,178 p/mo."
Type K1A - De Heelmeesters I en II,1097 BB Amsterdam,86 m²,,,"€ 1,355 p/mo."
Type 3KF - Kon. Wilhelminaplein I,1062 KD Amsterdam,93 m²,,,"From € 1,125 to 1,220 p/mo."
Type 4KD - Kon. Wilhelminaplein I,1062 KS Amsterdam,205 m²,,,"From € 1,965 to 1,975 p/mo."
Type D1S - Statendam,1031 KD Amsterdam,81 m²,,,"From € 1,300 to 1,500 p/mo."
Type D1 - Statendam,1031 KD Amsterdam,81 m²,,,"From € 1,300 to 1,500 p/mo."
Type P1 - Halve Maen,1031 KB Amsterdam,64 - 105 m²,3 rooms,,"From € 1,130 to 1,600 p/mo."
Type L - Kon. Wilhelminaplein II,1062 KM Amsterdam,90 - 166 m²,3 rooms,,"From € 1,100 to 1,600 p/mo."
"Buitenveldert I, II & III - Type PIV",1082 NP Amsterdam,75 - 80 m²,3 rooms,,"From € 1,085 to 2,250 p/mo."
Type Y1,1052 MA Amsterdam,70 - 90 m²,4 rooms,,"From € 1,550 to 1,900 p/mo."
Type L1 - Statendam,1031 KD Amsterdam,65 - 70 m²,3 rooms,,"From € 1,130 to 1,600 p/mo."
Type F1 - Statendam,1031 KG Amsterdam,64 - 105 m²,3 rooms,,"From € 1,130 to 1,600 p/mo."
Type 3KC - Kon. Wilhelminaplein I,1062 KB Amsterdam,90 - 166 m²,3 rooms,,"From € 1,100 to 2,200 p/mo."
Type G4 - De Heelmeesters I en II,1097 BB Amsterdam,96 m²,,,"From € 710 to 1,950 p/mo."
Type K15B - De Heelmeesters I en II,1097 BB Amsterdam,74 - 152 m²,3 rooms,,"From € 1,250 to 2,100 p/mo."
Type E8 - Halve Maen,1031 KB Amsterdam,90 - 95 m²,4 rooms,,"From € 1,070 to 2,000 p/mo."
Geinwijk II - Type B,1103 DS Amsterdam,80 - 90 m²,4 rooms,,€ 900 p/mo.
Geinwijk I - Type D,1103 DJ Amsterdam,102 m²,4 rooms,,From € 935 to 950 p/mo.
"Buitenveldert I, II & III - Type 3TIII",1082 NS Amsterdam,70 - 80 m²,3 rooms,,"From € 1,085 to 2,250 p/mo."
Type D - Kon. Wilhelminaplein II,1062 KK Amsterdam,90 - 166 m²,3 rooms,,"From € 1,100 to 2,200 p/mo."
Type A7 - Rivers,1079 RM Amsterdam,30 - 33 m²,3 rooms,,"From € 1,065 to 1,600 p/mo."
Type A2 - Rivers,1079 RH Amsterdam,25 - 27 m²,2 rooms,,"From € 1,065 to 1,600 p/mo."
Type A1 - Rivers,1079 RH Amsterdam,25 - 27 m²,3 rooms,,"From € 1,065 to 1,600 p/mo."
Geinwijk I - Type FH,1103 DJ Amsterdam,125 m²,5 rooms,,"From € 1,060 to 1,070 p/mo."
Geinwijk I - Type CDH,1103 DJ Amsterdam,105 m²,4 rooms,,"From € 955 to 1,165 p/mo."
Geinwijk I - Type AH,1103 DJ Amsterdam,105 m²,1 room,,From € 950 to 985 p/mo.
Geinwijk II - bovenwoning,1103 DS Amsterdam,101 - 117 m²,4 rooms,,"From € 880 to 1,195 p/mo."
Geinwijk II - benedenwoning,1103 DS Amsterdam,101 - 117 m²,3 rooms,,"From € 880 to 1,195 p/mo."
Intermezzo,1082 MK Amsterdam,58 - 138 m²,,,"From € 1,020 to 3,220 p/mo."
Type 4,1104 MM Amsterdam,123 m²,4 rooms,,"From € 1,600 to 1,640 p/mo."
Type 3,1104 LT Amsterdam,107 m²,4 rooms,,"From € 1,480 to 1,520 p/mo."
Type 2,1104 LT Amsterdam,103 m²,4 rooms,,"From € 1,480 to 1,520 p/mo."
Type 1,1104 MM Amsterdam,103 m²,4 rooms,,"From € 1,380 to 1,420 p/mo."
Appartement,1061 BS Amsterdam,120 - 200 m²,3 rooms,,"From € 990 to 1,095 p/mo."
3 kamer appartement Paradijsplein Oostpoort,1093 Amsterdam,65 - 131 m²,3 rooms,,From € 897 to 922 p/mo.
2-kamer appartement Paradijsplein Oostpoort,1093 NK Amsterdam,47 - 80 m²,2 rooms,,From € 759 to 922 p/mo.
De Vaandeldrager,1076 DN Amsterdam,90 - 180 m²,,,"From € 1,030 to 3,500 p/mo."
De Winnaar,1076 DS Amsterdam,72 - 280 m²,,,"From € 910 to 3,550 p/mo."
Waterlandplein / IJdoornlaan,1024 KM Amsterdam,218 - 348 m²,4 rooms,,"From € 1,199 to 1,549 p/mo."
Delflandplein,1062 HV Amsterdam,74 - 76 m²,4 rooms,,"€ 1,625 p/mo."
appartementen,1095 MP Amsterdam,44 - 115 m²,,,"From € 750 to 1,400 p/mo."
Appartementen,1067 Amsterdam,135 - 165 m²,,,"From € 1,200 to 1,300 p/mo."
Vijfkamerappartementen,1108 CP Amsterdam,120 - 140 m²,5 rooms,,"From € 880 to 1,450 p/mo."
Tweekamerappartementen,1108 CP Amsterdam,54 - 75 m²,2 rooms,,"From € 650 to 1,420 p/mo."
appartementen,1096 BA Amsterdam,51 - 80 m²,,,"From € 900 to 1,350 p/mo."
Appartement,1087 ML Amsterdam,99 - 118 m²,,,"From € 1,047 to 1,495 p/mo."
Appartement,1096 GG Amsterdam,80 - 105 m²,,,"From € 1,250 to 1,700 p/mo."
Appartement,1062 KS Amsterdam,82 - 100 m²,,,"From € 1,150 to 1,700 p/mo."
Appartementen,1021 Amsterdam,89 - 138 m²,,,"From € 1,121 to 1,375 p/mo."
Appartementen,1093 Amsterdam,60 - 64 m²,,,"From € 1,400 to 1,450 p/mo."
Eengezinswoningen,1103 BB Amsterdam,118 - 127 m²,,,"From € 1,011 to 1,168 p/mo."
Titus van Rijnstraat / Andreasplein,1058 GD Amsterdam,82 - 145 m²,,,"From € 1,500 to 2,400 p/mo."
appartementen,1068 ZX Amsterdam,70 - 145 m²,,,"From € 900 to 1,900 p/mo."
appartementen,1079 TX Amsterdam,178 - 285 m²,,,"From € 1,045 to 2,390 p/mo."
appartementen,1078 XZ Amsterdam,72 - 335 m²,,,"From € 1,200 to 2,400 p/mo."
Appartementen vanaf 77 m² tot 99 m²,1096 Amsterdam,77 - 99 m²,,,"From € 1,300 to 1,900 p/mo."
Appartement,1096 GG Amsterdam,208 - 273 m²,2 rooms,,"From € 1,250 to 1,700 p/mo."
Appartementen vanaf 49 m² tot 60 m²,1096 Amsterdam,50 - 60 m²,,,"From € 850 to 1,150 p/mo."
appartementen,1022 LA Amsterdam,74 - 113 m²,,,"From € 900 to 1,200 p/mo."
appartement,1064 ZK Amsterdam,54 - 80 m²,,,"From € 890 to 1,100 p/mo."
Warmoesstraat,1012 JC Amsterdam,41 - 115 m²,,,"From € 1,500 to 2,750 p/mo."
Appartementen,1079 RH Amsterdam,53 - 72 m²,3 rooms,,"From € 955 to 1,375 p/mo."
Laan van Spartaan - Wim van Estlaan 1 t/m 34,1061 Amsterdam,72 - 110 m²,2 rooms,,"From € 825 to 1,100 p/mo."
Vrije sector,1031 KP Amsterdam,76 - 88 m²,,,"From € 1,444 to 1,524 p/mo."
Leusdenhof/Leerdamhof vijfkamerappartement,1108 DH Amsterdam,94 - 120 m²,5 rooms,,"From € 1,025 to 1,200 p/mo."
Buyspad 4 t/m 50  - Buyskade 216 t/m 254,1051 MB Amsterdam,73 - 98 m²,,,"From € 1,000 to 1,500 p/mo."
Appartementen,1013 AD Amsterdam,85 - 145 m²,,,"From € 1,520 to 2,050 p/mo."
Grachtenpanden,1019 RK Amsterdam,50 - 100 m²,,,"From € 1,660 to 2,100 p/mo."
De Binnentuinen,1019 RL Amsterdam,50 - 100 m²,,,"From € 1,000 to 2,000 p/mo."
appartementen en maisonnettes,1019 RL Amsterdam,50 - 100 m²,,,"From € 800 to 1,440 p/mo."
De Koploper,1076 DV Amsterdam,90 - 224 m²,,,"From € 1,475 to 4,100 p/mo."
Appartementen,1066 JG Amsterdam,91 - 119 m²,,,"From € 830 to 1,290 p/mo."
Appartementen,1076 DP Amsterdam,66 - 140 m²,3 rooms,,"From € 1,070 to 2,850 p/mo."
Weteringschans 261 l,1017 XJ Amsterdam,63 m²,4 rooms,Available on 6/1/2022,"€ 1,550 p/mo."
Koninginneweg 224 3,1075 EM Amsterdam,90 m²,3 rooms,Available in consultation,"€ 2,950 p/mo."
Elandsgracht 10 D*,1016 TV Amsterdam,116 m²,3 rooms,Available on 6/1/2022,"€ 2,450 p/mo."
Henriëtte Bosmansstraat 38,1077 XJ Amsterdam,220 m²,7 rooms,Available on 8/1/2022,"€ 7,500 p/mo."
Alexandrine Tinnehof 14,1087 CM Amsterdam,130 m²,4 rooms,Available on 6/1/2022,"€ 2,500 p/mo."
Wagenaarstraat 318 4,1093 CX Amsterdam,108 m²,5 rooms,Available on 6/1/2022,"€ 2,600 p/mo."
Rapenburgerstraat 157 D,1011 VM Amsterdam,75 m²,3 rooms,Available on 7/1/2022,"€ 2,100 p/mo."
Schaarsbergenstraat 83,1107 JT Amsterdam,61 m²,3 rooms,Available on 7/1/2022,"€ 1,600 p/mo."
Professor J.H. Gunningstraat 40,1068 MS Amsterdam,133 m²,5 rooms,Available on 6/1/2022,"€ 2,350 p/mo."
Laing's Nekstraat 37 2,1092 GT Amsterdam,73 m²,3 rooms,Available immediately,"€ 1,950 p/mo."
Jacques Veltmanstraat 209,1065 DB Amsterdam,80 m²,3 rooms,Available on 7/15/2022,"€ 1,950 p/mo."
Van Eeghenstraat 151 H,1071 GB Amsterdam,120 m²,5 rooms,Available on 6/1/2022,"€ 3,000 p/mo."
Elckerlijcstraat 35,1055 AK Amsterdam,123 m²,5 rooms,Available in consultation,"€ 2,750 p/mo."
Apollolaan 197 D,1077 AX Amsterdam,125 m²,2 rooms,Available immediately,"€ 2,600 p/mo."
Koningslaan 22 B,1075 AD Amsterdam,95 m²,3 rooms,Available on 6/1/2022,"€ 3,950 p/mo."
Marie Heinekenplein 306,1072 MK Amsterdam,81 m²,3 rooms,Available immediately,"€ 2,300 p/mo."
Pieter Nieuwlandstraat 28 A,1093 XR Amsterdam,65 m²,3 rooms,Available on 6/17/2022,"€ 1,950 p/mo."
Van Eeghenstraat 151 1,1071 GB Amsterdam,120 m²,5 rooms,Available on 6/2/2022,"€ 3,150 p/mo."
Arcellastraat 4,1035 VN Amsterdam,75 m²,3 rooms,Available on 7/1/2022,"€ 1,800 p/mo."
Harry Koningsbergerstraat 192,1063 AH Amsterdam,48 m²,2 rooms,Available on 6/7/2022,"€ 1,700 p/mo."
Keizersgracht 153 I,1015 CL Amsterdam,80 m²,2 rooms,Available on 7/1/2022,"€ 2,350 p/mo."
Gustav Mahlerlaan 931,1082 MK Amsterdam,110 m²,3 rooms,Available on 7/1/2022,"€ 3,400 p/mo."
Singel 25 F,1012 VC Amsterdam,120 m²,4 rooms,Available on 6/1/2022,"€ 3,250 p/mo."
Spuistraat 30,1012 TS Amsterdam,75 m²,3 rooms,Available immediately,"€ 1,700 p/mo."
Eerste Weteringdwarsstraat 70,1017 TP Amsterdam,65 m²,3 rooms,Available immediately,"€ 2,150 p/mo."
Nieuwe Weteringstraat 67 ong,1017 ZX Amsterdam,100 m²,3 rooms,Available immediately,"€ 2,750 p/mo."
Kabelweg 36,1014 BB Amsterdam,100 m²,4 rooms,Available on 7/1/2022,"€ 2,550 p/mo."
Rondeel 40,1083 ME Amsterdam,100 m²,3 rooms,Available on 6/24/2022,"€ 1,900 p/mo."
Johan Huijsenstraat 36,1087 LC Amsterdam,80 m²,3 rooms,Available in consultation,"€ 1,700 p/mo."
Van Leijenberghlaan 4 K,1082 GM Amsterdam,120 m²,3 rooms,Available immediately,"€ 3,000 p/mo."
Bilderdijkkade 63,1053 VJ Amsterdam,95 m²,4 rooms,Available in consultation,"€ 2,750 p/mo."
Ranonkelkade 75,1031 XX Amsterdam,50 m²,4 rooms,Available in consultation,"€ 1,450 p/mo."
Eerste Helmersstraat 321,1054 ED Amsterdam,70 m²,3 rooms,Available immediately,"€ 1,850 p/mo."
Haarlemmerweg 334,1014 BL Amsterdam,40 m²,1 room,Available immediately,"€ 1,450 p/mo."
Westlandgracht 81,1058 TP Amsterdam,60 m²,2 rooms,Available immediately,"€ 1,750 p/mo."
Galgenstraat 11 3,1013 LT Amsterdam,75 m²,3 rooms,Available on 6/27/2022,"€ 2,250 p/mo."
Theodoor van Hoytemastraat 55 PP,1062 CG Amsterdam,,,Available in consultation,€ 100 p/mo.
Onstein 78,1082 KL Amsterdam,85 m²,4 rooms,Available on 7/1/2022,"€ 2,700 p/mo."
Rapenburgerstraat 91 IV,1011 VL Amsterdam,55 m²,3 rooms,Available on 6/7/2022,"€ 1,675 p/mo."
Loenermark 509,1025 TT Amsterdam,80 m²,3 rooms,Available on 6/1/2022,"€ 1,750 p/mo."
Gustav Mahlerlaan 545 -C,1082 MK Amsterdam,110 m²,2 rooms,Available on 6/1/2022,"€ 2,650 p/mo."
Weesperzijde 30 4,1091 EC Amsterdam,113 m²,4 rooms,Available immediately,"€ 2,850 p/mo."
Assumburg 53,1081 GB Amsterdam,71 m²,2 rooms,Available immediately,"€ 1,600 p/mo."
Gustav Mahlerlaan 529 C,1082 MK Amsterdam,100 m²,3 rooms,Available on 6/1/2022,"€ 2,350 p/mo."
Herengracht 187 A,1016 BE Amsterdam,130 m²,3 rooms,Available immediately,"€ 3,800 p/mo."
Leliegracht 12 1,1015 DE Amsterdam,95 m²,2 rooms,Available immediately,"€ 2,250 p/mo."
Leliegracht 12 II,1015 DE Amsterdam,160 m²,3 rooms,Available in consultation,"€ 3,400 p/mo."
Haringpakkerssteeg 5 F,1012 LR Amsterdam,17 m²,4 rooms,Available immediately,€ 770 p/mo.
Van Nijenrodeweg 602,1082 HW Amsterdam,100 m²,4 rooms,Available on 8/1/2022,"€ 2,250 p/mo."
Amstel 14,1017 AA Amsterdam,50 m²,2 rooms,Available on 6/1/2022,"€ 1,750 p/mo."
Tweede Oosterparkstraat 231 1,1092 BL Amsterdam,75 m²,2 rooms,Available in consultation,"€ 1,700 p/mo."
Eerste Leliedwarsstraat 6 1,1015 TA Amsterdam,40 m²,2 rooms,Available on 6/1/2022,"€ 1,600 p/mo."
Westerstraat 84,1015 ML Amsterdam,37 m²,2 rooms,Available on 6/1/2022,"€ 1,800 p/mo."
Fagelstraat 72 1,1052 GG Amsterdam,45 m²,2 rooms,Available immediately,"€ 1,500 p/mo."
